Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
216 MCGRATH HWY,Somerville ,MA,United States ,"0","29934585","216, McGrath Highway, Brickbottom, Somerville, Middlesex County, Massachusetts, 02141, United States",building,industrial,"42.37671625,-71.08877415990932","0","0","0",0.00000000000000,0.00000000000000
8 CRAIGIE ST,Somerville ,MA,United States ,"0","29724443","8;10, Craigie Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38568945,-71.11285381521145","0","0","0",0.00000000000000,0.00000000000000
236 ELM ST,Somerville ,MA,United States ,"0","6093964495","Kong Dog, 236, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,cafe,"42.3948298,-71.121685","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
286 SOMERVILLE AVE,Somerville ,MA,United States ,"0","29642762","Dunkin', 282;286, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,fast_food,"42.378780649999996,-71.09464007932812","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
246 ELM ST,Somerville ,MA,United States ,"0","1546690464","Genki Ya, 246, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,restaurant,"42.3953258,-71.1220661","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
286 SOMERVILLE AVE,Somerville ,MA,United States ,"0","29642762","Dunkin', 282;286, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,fast_food,"42.378780649999996,-71.09464007932812","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
290 SOMERVILLE AVE,Somerville ,MA,United States ,"0","2622538171","Ebi Sushi, 290, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,restaurant,"42.379091,-71.0946305","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
286 SOMERVILLE AVE,Somerville ,MA,United States ,"0","29642762","Dunkin', 282;286, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",amenity,fast_food,"42.378780649999996,-71.09464007932812","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
215 HIGHLAND AVE,Somerville ,MA,United States ,"0","8605381","215, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",place,house,"42.39015,-71.10761133333334","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
136 HIGHLAND AVE,Somerville ,MA,United States ,"0","29825832","136, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3876983,-71.10210557370732","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
136 HIGHLAND AVE,Somerville ,MA,United States ,"0","29825832","136, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3876983,-71.10210557370732","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
355 BROADWAY,Somerville ,MA,United States ,"0","29937349","355, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.39391275,-71.09528699962239","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
2 HIGHLAND AVE,Somerville ,MA,United States ,"0","29739864","2, Highland Avenue, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,retail,"42.384331849999995,-71.09255583520822","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
355 BROADWAY,Somerville ,MA,United States ,"0","29937349","355, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.39391275,-71.09528699962239","0","0","0",0.00000000000000,0.00000000000000
256 ELM ST,Somerville ,MA,United States ,"0","6110093488","Elm Street Taproom, 256, Elm Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",amenity,pub,"42.3955064,-71.1221467","0","0","0",0.00000000000000,0.00000000000000
5 DAVIS SQ,Somerville ,MA,United States ,"0","93168579","5, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",place,house,"42.39669175510204,-71.12235483673469","0","0","0",0.00000000000000,0.00000000000000
594 SOMERVILLE AVE,Somerville ,MA,United States ,"0","355792803","594 Somerville Ave, Somerville Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",highway,bus_stop,"42.383778,-71.109215","0","0","0",0.00000000000000,0.00000000000000
299 BROADWAY,Somerville ,MA,United States ,"0","29642236","299, Broadway, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,retail,"42.3922904,-71.09184976591543","0","0","0",0.00000000000000,0.00000000000000
