Street Address,City,State,Country,result_num,osm_id,display_name,category,type,latlong,vertex_index,vertex_part,vertex_part_index,distance,angle
10 DEARBORN RD,Somerville,MA,United States,"0","29533624","10, Dearborn Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40490025,-71.1159923530091","0","0","0",0.00000000000000,0.00000000000000
205 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29519013","205;207, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40681445,-71.12822598034954","0","0","0",0.00000000000000,0.00000000000000
243 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29518970","241;243, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40736685,-71.12970544999999","0","0","0",0.00000000000000,0.00000000000000
66 RAYMOND AVE,Somerville,MA,United States,"0","29789699","66, Raymond Avenue, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4071207,-71.12817846316521","0","0","0",0.00000000000000,0.00000000000000
82 HOLLAND ST,Somerville,MA,United States,"0","29794928","82;84, Holland Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.3985924,-71.12449809016736","0","0","0",0.00000000000000,0.00000000000000
1 MEAD ST,Somerville,MA,United States,"0","29792276","1, Mead Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,apartments,"42.4002754,-71.12734288979","0","0","0",0.00000000000000,0.00000000000000
34 CHETWYND RD,Somerville,MA,United States,"0","29932641","34, Chetwynd Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40825435,-71.1255606384272","0","0","0",0.00000000000000,0.00000000000000
61 SIMPSON AVE,Somerville,MA,United States,"0","29682024","59;61, Simpson Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4007344,-71.12266816406037","0","0","0",0.00000000000000,0.00000000000000
10 VIRGINIA ST,Somerville,MA,United States,"0","29940914","10, Virginia Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38618245,-71.09159212581349","0","0","0",0.00000000000000,0.00000000000000
167 ALBION ST,Somerville,MA,United States,"0","29629059","167, Albion Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3931326,-71.11075395","0","0","0",0.00000000000000,0.00000000000000
275 WILLOW AVE,Somerville,MA,United States,"0","29791431","275, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39970355,-71.11277385","0","0","0",0.00000000000000,0.00000000000000
65 PRICHARD AVE,Somerville,MA,United States,"0","29531680","65;67, Prichard Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.396718500000006,-71.11049519841868","0","0","0",0.00000000000000,0.00000000000000
55 PRICHARD AVE,Somerville,MA,United States,"0","29514202","53;55, Prichard Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.396246899999994,-71.11081295332892","0","0","0",0.00000000000000,0.00000000000000
12 BANKS ST,Somerville,MA,United States,"0","29932745","12;14, Banks Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3914203,-71.11801885","0","0","0",0.00000000000000,0.00000000000000
45 BURNSIDE AVE,Somerville,MA,United States,"0","29820585","45, Burnside Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.391644400000004,-71.1164486","0","0","0",0.00000000000000,0.00000000000000
11 LINDEN AVE,Somerville,MA,United States,"0","29586880","11, Linden Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3875556,-71.11406743664122","0","0","0",0.00000000000000,0.00000000000000
23 CROCKER ST,Somerville,MA,United States,"0","29634070","23, Crocker Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39006825,-71.11017164648376","0","0","0",0.00000000000000,0.00000000000000
62 DOVER ST,Somerville,MA,United States,"0","29629825","62, Dover Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.39551175,-71.12491445","0","0","0",0.00000000000000,0.00000000000000
942 BROADWAY,Somerville,MA,United States,"0","29934462","942, Broadway, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40086315,-71.12055254898215","0","0","0",0.00000000000000,0.00000000000000
15 WARWICK ST,Somerville,MA,United States,"0","29794070","15, Warwick Street, Magoun Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.394094499999994,-71.11010526873352","0","0","0",0.00000000000000,0.00000000000000
356 BROADWAY,Somerville,MA,United States,"0","29519509","356, Broadway, Winter Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.393598,-71.09577696836816","0","0","0",0.00000000000000,0.00000000000000
42 HUDSON ST,Somerville,MA,United States,"0","29516186","42, Hudson Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3898742,-71.10521185898423","0","0","0",0.00000000000000,0.00000000000000
14 ALBION ST,Somerville,MA,United States,"0","29824728","14, Albion Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,house,"42.38983915,-71.10337424990391","0","0","0",0.00000000000000,0.00000000000000
21 DAY ST,Somerville,MA,United States,"0","29629639","21, Day Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.39505885,-71.12479683484425","0","0","0",0.00000000000000,0.00000000000000
20 GILMAN ST,Somerville,MA,United States,"0","29819742","20, Gilman Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38451435,-71.08994484515014","0","0","0",0.00000000000000,0.00000000000000
8 GILMAN ST,Somerville,MA,United States,"0","29788661","8;10, Gilman Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.384391199999996,-71.08956405002405","0","0","0",0.00000000000000,0.00000000000000
55 OLIVER ST,Somerville,MA,United States,"0","29823968","55, Oliver Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38416305,-71.08836775","0","0","0",0.00000000000000,0.00000000000000
13 PENNSYLVANIA AVE,Somerville,MA,United States,"0","29537592","13,15, Pennsylvania Avenue, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.38754375,-71.08118239940555","0","0","0",0.00000000000000,0.00000000000000
7 LINCOLN ST,Somerville,MA,United States,"0","29821244","7, Lincoln Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.38645390000001,-71.08119070000001","0","0","0",0.00000000000000,0.00000000000000
199 PEARL ST,Somerville,MA,United States,"0","29537600","199, Pearl Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38718035,-71.09205809051659","0","0","0",0.00000000000000,0.00000000000000
80 CROSS ST,Somerville,MA,United States,"0","29520044","80, Cross Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.385253750000004,-71.0878286415043","0","0","0",0.00000000000000,0.00000000000000
25 CURTIS ST,Somerville,MA,United States,"0","29822087","25, Curtis Street, Teele Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40413935,-71.12645695355718","0","0","0",0.00000000000000,0.00000000000000
12 WARE ST,Somerville,MA,United States,"0","29686062","12, Ware Street, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40487575,-71.127082","0","0","0",0.00000000000000,0.00000000000000
246 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29537076","246;248, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.406974000000005,-71.13002416247832","0","0","0",0.00000000000000,0.00000000000000
205 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29519013","205;207, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40681445,-71.12822598034954","0","0","0",0.00000000000000,0.00000000000000
209 POWDER HOUSE BLVD,Somerville,MA,United States,"0","29641939","209;211, Powder House Boulevard, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40687845,-71.12839665","0","0","0",0.00000000000000,0.00000000000000
54 SUNSET RD,Somerville,MA,United States,"0","29536859","54, Sunset Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.409039899999996,-71.12614606821737","0","0","0",0.00000000000000,0.00000000000000
42 SUNSET RD,Somerville,MA,United States,"0","29823138","42;44, Sunset Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.408901400000005,-71.12570675","0","0","0",0.00000000000000,0.00000000000000
116 PEARSON AVE,Somerville,MA,United States,"0","29515939","116, Pearson Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39821635,-71.1107382499728","0","0","0",0.00000000000000,0.00000000000000
102 BROMFIELD RD,Somerville,MA,United States,"0","29533682","102, Bromfield Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40455095,-71.11670508188955","0","0","0",0.00000000000000,0.00000000000000
890 BROADWAY,Somerville,MA,United States,"0","29932169","890, Broadway, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.400615,-71.11856298095887","0","0","0",0.00000000000000,0.00000000000000
45 ENDICOTT AVE,Somerville,MA,United States,"0","200090749","45, Endicott Avenue, Somerville, Middlesex County, Massachusetts, 02140, United States",building,apartments,"42.40321325,-71.13082019976568","0","0","0",0.00000000000000,0.00000000000000
70 ENDICOTT AVE,Somerville,MA,United States,"0","29515656","70;72, Endicott Avenue, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.4025023,-71.1310855554365","0","0","0",0.00000000000000,0.00000000000000
58 IRVING ST,Somerville,MA,United States,"0","29588973","58, Irving Street, Davis Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40023455,-71.12271294587248","0","0","0",0.00000000000000,0.00000000000000
307 SUMMER ST,Somerville,MA,United States,"0","29683013","307, Summer Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3925091,-71.11665643708403","0","0","0",0.00000000000000,0.00000000000000
34 IBBETSON ST,Somerville,MA,United States,"0","29792779","34, Ibbetson Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38596575,-71.11176443914613","0","0","0",0.00000000000000,0.00000000000000
22 APPLETON ST,Somerville,MA,United States,"0","29514168","22, Appleton Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39664445,-71.116737","0","0","0",0.00000000000000,0.00000000000000
15 APPLETON ST,Somerville,MA,United States,"0","29794148","15, Appleton Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.396771400000006,-71.11613964072825","0","0","0",0.00000000000000,0.00000000000000
97 COLLEGE AVE,Somerville,MA,United States,"0","29723215","97, College Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,detached,"42.399225599999994,-71.11882794423963","0","0","0",0.00000000000000,0.00000000000000
221 WILLOW AVE,Somerville,MA,United States,"0","29682373","221, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3980396,-71.1138386125","0","0","0",0.00000000000000,0.00000000000000
91 ROGERS AVE,Somerville,MA,United States,"0","29515938","91;93, Rogers Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39828205,-71.11200240140619","0","0","0",0.00000000000000,0.00000000000000
131 JOSEPHINE AVE,Somerville,MA,United States,"0","29576410","131, Josephine Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.399433450000004,-71.11205839166715","0","0","0",0.00000000000000,0.00000000000000
3 HANCOCK ST,Somerville,MA,United States,"0","29683253","3, Hancock Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.38994555,-71.11682399700217","0","0","0",0.00000000000000,0.00000000000000
24 BURNSIDE AVE,Somerville,MA,United States,"0","29514527","24;26, Burnside Avenue, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.391146899999995,-71.11723490023587","0","0","0",0.00000000000000,0.00000000000000
216 SUMMER ST,Somerville,MA,United States,"0","29532168","216, Summer Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38838145,-71.11086722773115","0","0","0",0.00000000000000,0.00000000000000
26 HAWTHORNE ST,Somerville,MA,United States,"0","29723642","26, Hawthorne Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.393875550000004,-71.11833443067403","0","0","0",0.00000000000000,0.00000000000000
8 WEBSTER ST,Somerville,MA,United States,"0","29520020","6;8, Webster Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,apartments,"42.3853764,-71.08443107695612","0","0","0",0.00000000000000,0.00000000000000
22 BURNHAM ST,Somerville,MA,United States,"0","29933957","20;22, Burnham Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40203255,-71.12148320981298","0","0","0",0.00000000000000,0.00000000000000
459 MEDFORD ST,Somerville,MA,United States,"0","29788448","459, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.39393455,-71.1014599442135","0","0","0",0.00000000000000,0.00000000000000
61 GLENWOOD RD,Somerville,MA,United States,"0","29723605","59;61, Glenwood Road, Magoun Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.394242000000006,-71.10241255432824","0","0","0",0.00000000000000,0.00000000000000
53 ALBION ST,Somerville,MA,United States,"0","29683172","53, Albion Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,house,"42.390806850000004,-71.10517485574755","0","0","0",0.00000000000000,0.00000000000000
16 CENTRAL RD,Somerville,MA,United States,"0","29578844","16, Central Road, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38901455,-71.10239175038168","0","0","0",0.00000000000000,0.00000000000000
60 ATHERTON ST,Somerville,MA,United States,"0","29633379","58;60, Atherton Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.384736000000004,-71.10863342284443","0","0","0",0.00000000000000,0.00000000000000
16 SPRING ST,Somerville,MA,United States,"0","29532347","16, Spring Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3847607,-71.10921194685629","0","0","0",0.00000000000000,0.00000000000000
49 CROWN ST,Somerville,MA,United States,"0","29591810","47;49, Crown Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38983855,-71.11070576113163","0","0","0",0.00000000000000,0.00000000000000
32 DARTMOUTH ST,Somerville,MA,United States,"0","29730803","32, Dartmouth Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.39160615,-71.09687025303491","0","0","0",0.00000000000000,0.00000000000000
60 ATHERTON ST,Somerville,MA,United States,"0","29633379","58;60, Atherton Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.384736000000004,-71.10863342284443","0","0","0",0.00000000000000,0.00000000000000
543 BROADWAY,Somerville,MA,United States,"0","29682338","543, Broadway, Magoun Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,detached,"42.39831935,-71.10659270583679","0","0","0",0.00000000000000,0.00000000000000
443 SOMERVILLE AVE,Somerville,MA,United States,"0","29788100","443;445;447;449, Somerville Avenue, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.3823569,-71.10259565529392","0","0","0",0.00000000000000,0.00000000000000
23 LOWELL ST,Somerville,MA,United States,"0","29516308","21;23, Lowell Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3852994,-71.11115000030091","0","0","0",0.00000000000000,0.00000000000000
157 LOWELL ST,Somerville,MA,United States,"0","29630794","157, Lowell Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.38946955,-71.10821811055858","0","0","0",0.00000000000000,0.00000000000000
33 LEWIS ST,Somerville,MA,United States,"0","29792856","33, Lewis Street, Union Square, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3776279,-71.1022629","0","0","0",0.00000000000000,0.00000000000000
4 ABERDEEN RD,Somerville,MA,United States,"0","29516139","4, Aberdeen Road, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3915826,-71.11319476355438","0","0","0",0.00000000000000,0.00000000000000
135 HIGHLAND AVE,Somerville,MA,United States,"0","29791793","135, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,detached,"42.3880458,-71.10158147393133","0","0","0",0.00000000000000,0.00000000000000
9 SYCAMORE ST,Somerville,MA,United States,"0","29788340","9, Sycamore Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.388244,-71.10148524327215","0","0","0",0.00000000000000,0.00000000000000
39 TEMPLE ST,Somerville,MA,United States,"0","29820697","39;41, Temple Street, Ten Hills, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3937468,-71.09217459999999","0","0","0",0.00000000000000,0.00000000000000
68 FLINT ST,Somerville,MA,United States,"0","29537671","68;70, Flint Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38495765,-71.08926071173154","0","0","0",0.00000000000000,0.00000000000000
72 RUSH ST,Somerville,MA,United States,"0","29740485","72, Rush Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.3848407,-71.08716495726924","0","0","0",0.00000000000000,0.00000000000000
69 RUSH ST,Somerville,MA,United States,"0","29745882","69, Rush Street, East Somerville, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38508175,-71.08744604972931","0","0","0",0.00000000000000,0.00000000000000
429 MEDFORD ST,Somerville,MA,United States,"0","29685885","429, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,apartments,"42.39238575,-71.10024143947244","0","0","0",0.00000000000000,0.00000000000000
60 OSSIPEE RD,Somerville,MA,United States,"0","29533784","60, Ossipee Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.403949850000004,-71.1244349822218","0","0","0",0.00000000000000,0.00000000000000
117 HILLSDALE RD,Somerville,MA,United States,"0","29786105","117, Hillsdale Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.4089278,-71.1266068512448","0","0","0",0.00000000000000,0.00000000000000
44 CHETWYND RD,Somerville,MA,United States,"0","29730227","44, Chetwynd Road, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.408386750000005,-71.1259876192136","0","0","0",0.00000000000000,0.00000000000000
95 NORTH ST,Somerville,MA,United States,"0","29730197","95, North Street, Somerville, Middlesex County, Massachusetts, 02474, United States",building,yes,"42.40872,-71.12914330314246","0","0","0",0.00000000000000,0.00000000000000
97 BROMFIELD RD,Somerville,MA,United States,"0","29937248","97, Bromfield Road, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.40446555,-71.11628942915046","0","0","0",0.00000000000000,0.00000000000000
49 GORHAM ST,Somerville,MA,United States,"0","29514056","49, Gorham Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,apartments,"42.39845,-71.12658665","0","0","0",0.00000000000000,0.00000000000000
97 GILMAN ST,Somerville,MA,United States,"0","29519927","97, Gilman Street, Prospect Hill, Somerville, Middlesex County, Massachusetts, 02145, United States",building,yes,"42.38644635,-71.0927333294602","0","0","0",0.00000000000000,0.00000000000000
15 PAULINA ST,Somerville,MA,United States,"0","29635860","15, Paulina Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,semidetached_house,"42.40029705,-71.12464699800537","0","0","0",0.00000000000000,0.00000000000000
137 ALBION ST,Somerville,MA,United States,"0","29531961","137, Albion Street, Spring Hill, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3924868,-71.10921455573374","0","0","0",0.00000000000000,0.00000000000000
31 MORRISON AVE,Somerville,MA,United States,"0","29531810","29;31, Morrison Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,apartments,"42.3949619,-71.11221542035045","0","0","0",0.00000000000000,0.00000000000000
23 PEARSON AVE,Somerville,MA,United States,"0","29516043","21;23, Pearson Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39563295,-71.11200135145046","0","0","0",0.00000000000000,0.00000000000000
45 JOSEPHINE AVE,Somerville,MA,United States,"0","29635946","45, Josephine Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3968543,-71.1138252577525","0","0","0",0.00000000000000,0.00000000000000
121 MORRISON AVE,Somerville,MA,United States,"0","29940640","119;121, Morrison Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39601015,-71.11611773359114","0","0","0",0.00000000000000,0.00000000000000
13 FOSKETT ST,Somerville,MA,United States,"0","29682429","13, Foskett Street, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39724765,-71.115465","0","0","0",0.00000000000000,0.00000000000000
222 WILLOW AVE,Somerville,MA,United States,"0","29788314","222, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.398187300000004,-71.11423088241725","0","0","0",0.00000000000000,0.00000000000000
261 WILLOW AVE,Somerville,MA,United States,"0","29531484","261, Willow Avenue, Ball Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.399282549999995,-71.11304328757353","0","0","0",0.00000000000000,0.00000000000000
12 COTTAGE AVE,Somerville,MA,United States,"0","29821129","12, Cottage Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02140, United States",building,yes,"42.393711999999994,-71.12216028422705","0","0","0",0.00000000000000,0.00000000000000
161 ELM ST,Somerville,MA,United States,"0","29588972","161;163, Elm Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39220885,-71.11932620201696","0","0","0",0.00000000000000,0.00000000000000
5 WINDOM ST,Somerville,MA,United States,"0","29682967","5, Windom Street, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39295370000001,-71.11995630400074","0","0","0",0.00000000000000,0.00000000000000
11 WILLOW AVE,Somerville,MA,United States,"0","29723826","11, Willow Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3916366,-71.11828425","0","0","0",0.00000000000000,0.00000000000000
17 WILLOW AVE,Somerville,MA,United States,"0","29514494","17, Willow Avenue, West Somerville, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.39182575,-71.11813635","0","0","0",0.00000000000000,0.00000000000000
61 CHERRY ST,Somerville,MA,United States,"0","29588761","61, Cherry Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02144, United States",building,yes,"42.3923258,-71.11417584658003","0","0","0",0.00000000000000,0.00000000000000
254 HIGHLAND AVE,Somerville,MA,United States,"0","29683154","254, Highland Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.391121749999996,-71.11048785096509","0","0","0",0.00000000000000,0.00000000000000
50 BRASTOW AVE,Somerville,MA,United States,"0","29514638","50, Brastow Avenue, Spring Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3893365,-71.11118796109113","0","0","0",0.00000000000000,0.00000000000000
285 BEACON ST,Somerville,MA,United States,"0","29724792","Petsi Pies, 285, Beacon Street, Wilson Square, Somerville, Middlesex County, Massachusetts, 02143, United States",shop,pastry,"42.38358495,-71.11263790766552","0","0","0",0.00000000000000,0.00000000000000
421 MEDFORD ST,Somerville,MA,United States,"0","29685887","421, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3919527,-71.09976989527974","0","0","0",0.00000000000000,0.00000000000000
400 MEDFORD ST,Somerville,MA,United States,"0","29826495","400, Medford Street, Winter Hill, Somerville, Middlesex County, Massachusetts, 02143, United States",building,yes,"42.3909175,-71.09927549500489","0","0","0",0.00000000000000,0.00000000000000
